DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPhie;nmrPhiT;nmrPerm;PE;RES10;RES90
2196,3448;12,3117;2,4036;65,7811;120,4813;13,5365;0,1974;0,1411;0,1581;0,169;208,8093;5,2208;578,1431885;1077,0659
2196,4972;12,3168;2,3849;66,4802;121,4396;13,5365;0,202;0,1426;0,1579;0,1718;207,3359;5,2614;570,2700195;992,403
2196,6496;12,3162;2,3773;65,7551;122,2558;13,2821;0,2004;0,1476;0,1632;0,1715;328,6507;5,2841;547,4116821;864,2697
2196,802;12,3116;2,3805;64,9629;122,4106;12,7596;0,2053;0,152;0,1666;0,1674;763,1719;5,2743;530,7531738;892,3036
2196,9544;12,3093;2,3877;65,4243;120,3761;12,7253;0,2094;0,1544;0,1687;0,1691;899,4569;5,2481;508,3982849;846,4416
2197,1068;12,3154;2,3939;66,0464;121,2262;14,4219;0,2167;0,1567;0,1708;0,1708;1063,9957;5,1972;495,0035095;846,8655
2197,2592;12,3192;2,3919;66,5346;121,6189;14,8771;0,2244;0,1601;0,173;0,173;1382,8594;5,1724;482,1662903;886,5785
2197,4116;12,3315;2,3856;65,9325;120,4904;14,7902;0,229;0,164;0,1736;0,1736;2649,8289;5,1758;469,0213928;789,0655
2197,564;12,3347;2,3845;64,8683;115,5292;13,8287;0,2289;0,1628;0,1711;0,1711;3346,3518;5,1767;460,5689087;735,9144
2197,7164;12,3358;2,3887;61,9739;111,6288;13,8287;0,2216;0,1591;0,1696;0,1696;1915,243;5,1471;439,6846924;681,5736
2197,8688;12,3377;2,3935;62,6184;107,6923;14,3964;0,2146;0,1554;0,1681;0,1681;1200,2654;5,0898;447,083313;710,2355
2198,0212;12,35;2,3853;62,1463;104,7679;14,2506;0,2094;0,1499;0,168;0,1724;391,0206;5,1059;425,7513123;736,4811
2198,1736;12,3762;2,3634;62,219;107,4534;13,6783;0,2101;0,1482;0,1744;0,1846;192,6653;5,3074;402,0730896;716,0502
2198,326;12,4036;2,3375;61,5639;113,8552;13,9873;0,226;0,1555;0,189;0,2079;164,8753;6,1008;388,4390869;659,0707
2198,4784;12,438;2,3009;60,9587;120,8376;14,8454;0,2833;0,1654;0,2031;0,2239;200,7591;7,3879;388,9146118;641,2856
2198,6308;12,4424;2,283;60,6696;125,8133;15,512;0,3403;0,1753;0,2173;0,24;243,1724;8,799;427,2052917;699,5663
2198,7832;12,4343;2,3035;61,2456;126,9754;15,0655;0,347;0,1818;0,2263;0,2443;301,1049;9,3924;457,7601013;782,2588
2198,9356;12,391;2,3451;62,903;122,4604;13,8382;0,2982;0,1589;0,1985;0,2084;194,656;8,8408;502,7329102;839,5478
2199,088;12,3417;2,3952;65,2728;119,3509;14,0785;0,2353;0,1261;0,161;0,1664;75,1859;7,5937;560,5609741;952,9286
2199,2404;12,3354;2,419;65,941;118,3171;13,1171;0,198;0,122;0,1543;0,158;71,4242;6,469;568,7930298;899,6931
2199,3928;12,3356;2,445;64,3768;119,1757;13,3009;0,1855;0,1178;0,1475;0,1496;68,8348;5,8894;602,5452881;957,1931
2199,5452;12,3393;2,4368;65,8895;119,8481;12,6828;0,1821;0,1282;0,1583;0,1584;113,4513;5,6883;624,7432251;982,402
2199,6976;12,3439;2,4103;67,0094;121,9232;13,7472;0,1944;0,1325;0,161;0,161;145,2959;5,6363;639,5498047;1101,2692
