DEPTH;CAL;DEN;DTC;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2227,8092;12,478;2,6741;53,7837;11,6432;0,0809;0,0585;3,119699955;0,0774;0,0793;3,5947;115,562;160,1437988
2227,9616;12,5379;2,6632;54,4714;12,4494;0,0808;0,0529;1,633599997;0,0782;0,0782;3,6611;119,6405;154,2507019
2228,114;12,5563;2,6636;54,7006;13,3741;0,1003;0,0429;0,569199979;0,0738;0,0741;3,7122;125,1753;161,2624969
2228,2664;12,4853;2,6671;54,8302;12,8607;0,0953;0,0384;0,351799995;0,069;0,0709;3,7562;113,5079;156,142807
2228,4188;12,4257;2,6786;53,4061;13,5126;0,1024;0,0328;0,185100004;0,0647;0,0673;3,7825;103,809;145,2904053
2228,5712;12,4266;2,6876;52,8523;14,0274;0,1249;0,0233;0,0537;0,0598;0,0612;3,8197;91,8211;127,2556
2228,7236;12,4796;2,6913;51,6642;16,1165;0,0751;0,014;0,0099;0,0502;0,0511;3,8542;91,2959;125,3712006
2228,876;12,5479;2,6913;49,9963;16,27;0,0453;0,0108;0,0036;0,0409;0,0411;3,8773;114,4391;154,3529053
2229,0284;12,6003;2,6987;50,2617;16,329;0,0443;0,0096;0,0021;0,0333;0,0334;3,972;159,8021;210,3816071
2229,1808;12,6031;2,6996;49,2068;14,7984;0,0539;0,0094;0,0015;0,0267;0,0267;4,1727;217,6168;270,7189941
2229,3332;12,5089;2,7189;48,7171;14,6272;0,0575;0,0102;0,0018;0,0236;0,0236;4,4374;264,4117;351,3676147
2229,4856;12,4119;2,7437;48,7947;15,0271;0,0468;0,011;0,0025;0,0257;0,0268;4,5697;293,2483;393,2929077
2229,638;12,3446;2,7599;48,3202;15,1732;0,0363;0,0138;0,0061;0,0292;0,0335;4,4436;319,1638;440,0625916
2229,7904;12,3481;2,7506;48,0785;13,9079;0,0232;0,0179;0,0167;0,0299;0,0379;4,1771;342,7277;730,1085815
2229,9428;12,3444;2,7278;48,2023;12,0176;0,0233;0,0215;0,034299999;0,0313;0,0443;3,9965;365,6106;601,0460205
2230,0952;12,3249;2,7214;47,952;11,5393;0,0315;0,0209;0,031599998;0,033;0,0473;4,0038;375,0706;511,5327148
2230,2476;12,3279;2,7257;47,5515;12,5569;0,0303;0,0152;0,0099;0,0332;0,041;3,9988;333,593;396,8331909
2230,4;12,3572;2,7266;46,8441;13,2129;0,0216;0,011;0,0033;0,0313;0,0363;3,8499;312,1593;380,5837097
2230,5524;12,3045;2,7168;47,3592;14,0074;0,024;0,0098;0,0023;0,0285;0,0358;3,6541;281,6421;384,4117126
2230,7048;12,2867;2,706;49,1659;14,8719;0,0366;0,009;0,0018;0,0247;0,0355;3,5831;256,4148;330,0881958
2230,8572;12,2905;2,7038;50,8145;14,875;0,0743;0,0104;0,0026;0,0222;0,034;3,6727;250,676;312,9901123
2231,0096;12,295;2,7117;51,2552;14,4078;0,0983;0,0113;0,003;0,0212;0,0309;3,8046;241,9473;302,1777039
2231,162;12,2855;2,7132;49,898;13,0412;0,0685;0,0107;0,0024;0,0207;0,0289;3,95;239,8478;286,1271057
2231,3144;12,2971;2,7012;48,9421;12,421;0,0385;0,0105;0,0023;0,0213;0,0283;4,1332;337,3812;303,1835022
2231,4668;12,2898;2,6927;48,8118;11,5708;0,0321;0,0117;0,0031;0,0224;0,0281;4,3304;424,0316;348,1221008
2231,6192;12,3025;2,6914;48,9659;11,1053;0,047;0,0194;0,0242;0,0285;0,0335;4,4678;642,1675;369,5367126
2231,7716;12,2959;2,6992;49,556;10,6115;0,0443;0,0335;0,292400002;0,0433;0,0475;4,4869;916,64;333,3750916
2231,924;12,3029;2,6829;49,3515;11,3298;0,0477;0,0409;0,648699999;0,056;0,0581;4,4299;936,3111;276,6046143
2232,0764;12,2896;2,6739;49,7151;11,6755;0,0643;0,0421;0,699500024;0,0583;0,0606;4,3016;563,0729;207,7416992
2232,2288;12,3022;2,688;49,4957;12,8551;0,08;0,0418;0,671000004;0,0572;0,0605;4,1351;430,3214;155,260498
2232,3812;12,3128;2,7162;48,649;12,8837;0,0887;0,0356;0,388500005;0,0427;0,0498;3,9221;337,1041;125,9667969
2232,5336;12,3126;2,7274;49,469;13,2054;0,0644;0,0296;0,248600006;0,0325;0,0384;3,7805;284,5747;97,854599
2232,686;12,3448;2,7095;49,3656;13,4612;0,0606;0,0304;0,2852;0,0388;0,0391;3,756;216,041;73,50389862
2232,8384;12,2851;2,7005;49,7666;13,811;0,0681;0,0337;0,470699996;0,0425;0,0426;3,8601;178,5667;59,73929977
2232,9908;12,2644;2,7045;50,3549;14,6693;0,0751;0,037;0,743099988;0,0462;0,0462;3,9864;152,0479;53,97919846
2233,1432;12,2654;2,7046;50,7001;15,0228;0,1009;0,0413;1,190400004;0,0513;0,0513;4,0672;149,8629;51,05080032
2233,2956;12,271;2,7033;51,164;15,2244;0,1108;0,0353;0,4208;0,0456;0,0477;4,0003;159,7897;51,12120056
2233,448;12,2756;2,6954;50,859;14,7173;0,0925;0,0345;0,365200013;0,0449;0,0472;3,8899;181,0048;54,45600128
2233,6004;12,2802;2,6981;50,0495;14,9071;0,0752;0,028;0,1127;0,0399;0,045;3,8224;214,2463;60,53509903
2233,7528;12,2895;2,7003;49,555;14,6233;0,0748;0,0204;0,028100001;0,034;0,0424;3,9029;246,2629;65,86569977
2233,9052;12,3254;2,7022;49,2073;15,9336;0,0503;0,0143;0,0071;0,0264;0,0338;3,9799;237,5691;68,23220062
