DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2268,5718;8,6531;2,7007;52,4545;95,8182;22,1064;0,0573;0,035;0,2908;0,0488;0,0538;5,0266;938,9723;356,0053
2268,7242;8,6556;2,6997;51,3636;92,1818;21,966;0,0527;0,0334;0,227;0,0465;0,0532;4,964;950,1606;348,5455
2268,8767;8,6279;2,7187;51;89,1818;24,0027;0,0442;0,0251;0,0666;0,0409;0,0435;4,789;975,2433;343,8539
2269,0291;8,5708;2,743;51,5455;88,1818;26,8173;0,04;0,0166;0,0123;0,0357;0,0361;4,4954;904,2687;352,7314
2269,1815;8,5635;2,7569;51,7273;87;31,9;0,0366;0,0107;0,0026;0,0318;0,032;4,1662;961,8807;405,0384
2269,3339;8,583;2,7483;49,8182;84,3636;32,0764;0,0312;0,0089;0,0015;0,0293;0,0308;3,9377;1231,7703;455,23
2269,4863;8,6134;2,7321;49,6364;83;35,3012;0,0297;0,0069;0,0007;0,026;0,0293;3,8642;1462,8508;559,4141
2269,6387;8,6088;2,7263;49,4545;81,4545;34,7924;0,0315;0,004;0,0002;0,0188;0,0267;3,8422;1521,1091;653,2803
2269,7911;8,6137;2,7164;51,1818;84;32,0448;0,0302;0,0118;0,0037;0,0266;0,0337;3,7839;1411,3159;675,0085
2269,9435;8,5881;2,6966;52,3636;86,8182;27,8864;0,0371;0,0264;0,0778;0,0433;0,052;3,7759;1151,4042;732,9968
2270,0959;8,542;2,6595;53,1818;89,9091;27,4709;0,0482;0,0357;0,2723;0,0542;0,062;3,9513;773,0388;532,9897
2270,2483;8,5365;2,616;55,1818;96;32,7484;0,0715;0,0505;1,2887;0,0705;0,0767;4,3143;541,1484;404,778
2270,4007;8,5201;2,573;57,3636;100,1818;34,4281;0,0989;0,0801;13,1964;0,1014;0,104;4,7568;483,0774;380,8684
2270,5531;8,5298;2,5271;59,7273;105,8182;31,2032;0,1287;0,1036;55,0474;0,1256;0,1256;5,1327;485,7067;359,8933
2270,7055;8,5456;2,4981;63,2727;111,6364;25,7812;0,1516;0,1185;119,5137;0,1397;0,1397;5,2758;373,5881;305,7895
2270,8579;8,5641;2,4865;65;112,3636;23,5862;0,161;0,1167;112,7219;0,1375;0,1376;5,2009;283,0496;231,9213
2271,0103;8,5632;2,4873;64,4545;111,3636;23,3588;0,1579;0,1133;91,4835;0,1337;0,1349;5,0704;246,7889;188,3293
2271,1627;8,5538;2,4835;64,4545;112;26,0744;0,1583;0,1072;52,5802;0,1282;0,1336;5,0844;261,9446;185,4137
2271,3151;8,5878;2,4824;63,8182;111,1818;27,2122;0,1545;0,1016;33,1604;0,1237;0,1327;5,2335;302,636;204,61
2271,4675;8,5909;2,4908;63,3636;110,1818;28,458;0,1506;0,0983;28,8734;0,1198;0,1286;5,3954;349,0295;243,0708
2271,6199;8,6222;2,5089;62,0909;107,2727;26,8456;0,1362;0,0966;28,6331;0,1169;0,1246;5,3949;360,4818;252,3033
2271,7723;8,6416;2,5265;60,7273;106;26,1384;0,1173;0,0915;21,3725;0,1114;0,1199;5,2744;393,1222;267,0815
2271,9247;8,6191;2,5413;60,3636;104,7273;26,987;0,1032;0,0831;12,6813;0,1031;0,1128;5,1403;403,8317;283,2737
2272,0771;8,5739;2,5557;59,2727;103,4545;30,7969;0,097;0,0757;7,9039;0,0962;0,1057;5,0599;424,949;335,3379
2272,2295;8,5909;2,5715;59,1818;102,7273;33,6928;0,1067;0,0718;6,2055;0,0922;0,1014;4,9523;427,2217;396,7365
2272,3819;8,5988;2,5833;59,0909;101,3636;35,5598;0,1152;0,0695;5,4544;0,0893;0,098;4,7194;536,3555;512,4656
2272,5343;8,573;2,5873;59;100,6364;36,1965;0,1205;0,0651;4,8016;0,0839;0,0881;4,4935;476,1204;512,5236
2272,6867;8,5872;2,5919;58,6364;100,5455;35,592;0,1153;0,0563;2,7632;0,075;0,0757;4,342;390,7706;647,0408
2272,8391;8,6045;2,6002;57,3636;99,3636;37,6287;0,1056;0,0477;1,2005;0,0674;0,0674;4,3252;599,792;783,6509
2272,9915;8,586;2,613;57,4545;98,3636;40,7894;0,0938;0,0443;0,8105;0,0647;0,065;4,3423;749,2396;812,4642
2273,1439;8,5775;2,615;56,3636;96,5455;49,9397;0,0845;0,0421;0,6237;0,0632;0,0639;4,399;997,7667;709,5333
2273,2963;8,579;2,6243;56,1818;95,0909;62,0754;0,0867;0,0372;0,3376;0,0601;0,0614;4,3673;1057,077;740,4913
2273,4487;8,5122;2,6264;56;93,1818;69,9984;0,0806;0,0294;0,1193;0,0569;0,0571;4,3097;1039,7211;627,1426
2273,6011;8,4985;2,6384;55,3636;90,8182;73,7475;0,0749;0,0192;0,0237;0,0481;0,0481;4,1626;1265,585;706,1816
2273,7535;8,5447;2,6532;54,1818;88,5455;66,3483;0,0542;0,0156;0,0108;0,0417;0,0417;3,9937;1104,526;905,9092
2273,9059;8,5708;2,6654;53,4545;86,8182;59,5592;0,0407;0,0124;0,0045;0,0354;0,0354;3,8609;1248,3674;1134,366
2274,0583;8,5723;2,684;53;86,9091;53,7292;0,0285;0,0165;0,0119;0,0329;0,0347;3,7741;1706,6257;1471,8771
2274,2107;8,6012;2,6897;53,8182;88,5455;51,2719;0,042;0,0271;0,1037;0,0405;0,042;3,8392;1395,4741;1826,3925
2274,3631;8,6522;2,6836;55,6364;93,3636;50,1687;0,0665;0,0364;0,5425;0,0475;0,0476;4,0916;954,4935;1659,0864
2274,5155;8,6841;2,6531;56;96,5455;40,1289;0,0874;0,0369;0,5975;0,0479;0,0479;4,5374;886,111;1462,0549
2274,6679;8,6173;2,6079;56,8182;98,3636;29,7027;0,0811;0,0369;0,5975;0,0479;0,0479;5,0893;711,8706;1331,9453
2274,8203;8,6018;2,5499;57,4545;97,3636;17,3124;0,063;0,0471;1,7179;0,06;0,06;5,5619;531,8889;1159,049
2274,9727;8,6222;2,4925;59,4545;98;13,6918;0,0533;0,0637;5,3225;0,0809;0,0825;5,8443;351,1467;579,4792
2275,1251;8,5423;2,4716;60,4545;99,5455;12,5885;0,0603;0,0799;14,1812;0,098;0,102;5,822;220,8221;464,1421
2275,2775;8,4694;2,4929;59,6364;101,1818;16,5772;0,0665;0,0784;13,0583;0,0958;0,1001;5,5074;168,9305;142,6176
2275,4299;8,4606;2,5523;57,1818;99,7273;20,0281;0,0698;0,0757;11,2604;0,0924;0,0968;5,1679;137,7142;216,0244
2275,5823;8,4505;2,6022;55,5455;98;25,7779;0,0758;0,0588;4,0126;0,0739;0,0756;4,9584;116,4524;207,669
2275,7347;8,4563;2,6388;56,1818;98,1818;27,3054;0,0836;0,052;2,9548;0,0646;0,0647;4,9149;102,3618;198,3318
2275,8871;8,4581;2,6467;57,2727;99,3636;27,7298;0,0841;0,0608;6,0706;0,0744;0,0744;4,8854;119,4902;137,8998
2276,0395;8,4624;2,6353;58,1818;101,1818;23,6113;0,0923;0,0684;10,5585;0,0826;0,0829;4,9139;151,3068;301,5596
2276,1919;8,5116;2,6105;59,7273;104,7273;20,3864;0,1094;0,0755;16,8001;0,0901;0,0906;5,0821;191,8386;263,124
2276,3443;8,5438;2,5716;61;107,6364;17,9253;0,1237;0,0808;19,9479;0,0966;0,0983;5,3669;337,4964;420,3026
2276,4968;8,5678;2,5374;61,8182;110;18,6571;0,1181;0,0807;14,5988;0,1;0,1032;5,6068;271,9145;347,4333
2276,6492;8,6003;2,5301;61,3636;108,1818;20,6881;0,103;0,0714;6,33;0,097;0,0995;5,6799;303,9088;327,2119
