DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2514,1704;12,3245;2,4631;62,3814;114,4572;13,6414;0,1585;0,1355;452,4505;0,1451;0,1498;4,1254;235,6883;461,9349
2514,3228;12,3498;2,4731;62,6325;113,62;13,6054;0,1418;0,1324;309,2594;0,1425;0,1491;4,2827;226,7455;427,4774
2514,4752;12,3575;2,4831;63,6112;113,0685;13,6698;0,1339;0,1293;220,5478;0,1398;0,1485;4,3162;220,8475;415,5034
2514,6276;12,3658;2,4834;63,3349;113,44;12,5089;0,1284;0,1247;178,0009;0,1357;0,1442;4,2597;219,159;412,6932
2514,78;12,3538;2,4764;62,8725;112,7436;11,8522;0,1247;0,1322;288,946;0,1422;0,1496;4,1915;213,2176;399,9796
2514,9324;12,3615;2,4568;62,6369;112,5641;10,4991;0,1379;0,1586;667,266;0,1694;0,178;4,1729;208,1287;383,2302
2515,0848;12,3754;2,4372;62,7247;114,173;11,7369;0,1639;0,1632;644,2191;0,1749;0,1853;4,1831;197,3935;355,8607
2515,2372;12,3799;2,4279;64,1915;115,658;11,0752;0,1812;0,1678;634,8979;0,1803;0,1925;4,1886;190,952;338,3247
2515,3896;12,3727;2,4249;65,0193;117,0694;11,9447;0,1877;0,1909;1032,8551;0,2048;0,2196;4,1197;193,6441;345,4175
2515,542;12,3574;2,4019;65,8261;117,6553;11,9323;0,2198;0,1954;1442,5055;0,209;0,2204;3,9919;205,5919;375,2793
2515,6944;12,4027;2,3548;66,7251;118,9048;12,5127;0,2542;0,1726;1106,0775;0,1883;0,1916;3,8952;219,7285;411,0858
2515,8468;12,4277;2,3326;68,1347;121,9545;12,803;0,2427;0,1529;683,7375;0,1681;0,1698;3,8951;231,8883;437,5244
2515,9992;12,4344;2,3567;68,902;124,2281;12,6572;0,1831;0,1333;395,7307;0,1479;0,1479;4,0374;248,9971;483,5895
2516,1516;12,4304;2,405;68,0119;121,6195;12,6895;0,1282;0,1077;113,0561;0,1228;0,123;4,3216;272,8825;548,5858
2516,304;12,423;2,4424;65,9868;120,4691;12,0333;0,1172;0,0988;66,1534;0,1148;0,1148;4,6956;293,2243;614,5818
2516,4564;12,3353;2,4719;64,4076;115,2758;11,3083;0,1141;0,1001;112,9278;0,1119;0,1119;5,0098;300,858;640,201
2516,6088;12,3248;2,4905;64,0708;114,882;11,1359;0,1139;0,1079;210,369;0,1183;0,1183;5,0908;334,4314;747,5076
2516,7612;12,3621;2,4912;64,002;115,0822;10,7923;0,1074;0,1157;397,1713;0,1247;0,1247;5,0346;370,9788;863,1978
2516,9136;12,4108;2,4681;64,7717;115,4566;11,2438;0,106;0,1148;228,4043;0,1271;0,1271;4,9515;401,5302;995,5405
2517,066;12,4888;2,4489;65,0872;117,1953;10,6113;0,0987;0,106;67,7765;0,1252;0,1266;4,9298;431,6049;1150,8167
2517,2184;12,4633;2,4454;65,5016;119,5465;10,966;0,0975;0,0952;23,0377;0,1144;0,1273;4,9433;454,2601;1244,3018
2517,3708;12,3879;2,4582;65,8794;121,2348;10,1957;0,1082;0,0958;22,5239;0,1124;0,1297;5,0138;465,9855;1361,9589
2517,5232;12,3407;2,4809;65,7096;121,5632;10,7105;0,1196;0,0963;22,1133;0,1104;0,132;5,1014;478,5261;1385,2994
2517,6756;12,3605;2,4966;65,4693;119,942;9,8453;0,1274;0,0989;23,7046;0,1148;0,137;5,1074;501,5813;1721,3158
2517,828;12,4238;2,4977;65,2491;120,5872;10,6361;0,1326;0,1186;53,5875;0,1397;0,1601;5,0022;520,0074;1659,3827
2517,9804;12,5415;2,4832;65,6122;119,8747;10,1846;0,1416;0,1455;200,1124;0,164;0,1781;4,9164;535,3627;1688,0892
