DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2180,648;12,6015;2,5909;50,8459;89,2495;22,2538;0,0626;0,0729;7,7318;0,0986;0,0976;5,6256;1950;1700,5259
2180,8004;12,6023;2,5153;51,0403;89,059;21,9223;0,0777;0,0694;4,8485;0,1031;0,1068;5,8239;1950;1303,3683
2180,9528;12,608;2,4067;51,665;89,5233;21,8634;0,1042;0,0664;3,4621;0,108;0,1114;6,0398;1950;1150,4668
2181,1052;12,6195;2,3938;52,7985;90,6639;21,9853;0,1298;0,0689;4,215;0,1162;0,1162;6,1393;1950;1121,0095
2181,2576;12,8638;2,466;53,9749;92,2989;22,5213;0,1446;0,0878;13,8338;0,1224;0,1261;6,0382;1950;1195,8081
2181,41;12,6821;2,4592;55,3105;94,1087;22,6741;0,1437;0,1029;32,2794;0,1258;0,1356;5,814;1950;1612,5078
2181,5624;12,5904;2,4369;56,5677;95,763;22,1303;0,1483;0,0998;27,3387;0,1228;0,1319;5,7125;1950;1950
2181,7148;12,5953;2,4109;58,218;97,6553;20,9324;0,1512;0,0958;22,2496;0,1195;0,1263;5,7399;1950;1950
2181,8672;12,6082;2,4055;59,8579;100,6389;21,1819;0,1613;0,0856;12,6904;0,1167;0,1222;5,8237;1950;1950
2182,0196;12,6206;2,4315;60,434;102,8643;22,2163;0,1602;0,1002;31,6215;0,1325;0,1327;5,8089;1950;1950
2182,172;12,6449;2,4229;60,2556;104,6361;21,9459;0,1699;0,1259;96,8613;0,1525;0,1561;5,7672;1950;1950
2182,3244;12,6703;2,3726;60,0765;106,3862;21,4754;0,1671;0,1327;121,3752;0,1576;0,1717;5,8063;1950;1947,614
2182,4768;12,709;2,3976;60,5559;107,9261;22,3933;0,1724;0,1387;145,0585;0,1622;0,1735;5,9492;1950;1898,7905
2182,6292;12,7412;2,3699;60,7399;109,0816;24,3101;0,1718;0,1358;121,3206;0,1621;0,1731;6,1323;1950;1801,7476
2182,7816;12,7316;2,3901;60,7901;109,6207;26,0334;0,1789;0,1231;62,1429;0,1582;0,1673;6,3118;1950;1677,6448
2182,934;12,7216;2,4145;60,8012;109,6579;26,2895;0,1818;0,1156;43,0057;0,1545;0,1617;6,4814;1950;1553,1472
2183,0864;12,7131;2,3925;60,6671;109,4153;26,297;0,1867;0,1118;39,0026;0,1488;0,1487;6,6071;1950;1463,8912
2183,2388;12,7063;2,423;60,5978;108,9145;25,5134;0,1876;0,1073;34,7251;0,1418;0,1386;6,6003;1950;1449,4576
2183,3912;12,6894;2,42;60,646;108,1454;24,7283;0,1905;0,0957;24,4282;0,1227;0,1282;6,4442;1950;1499,4558
2183,5436;12,6542;2,4757;60,0337;107,0407;23,1681;0,1934;0,0817;12,8949;0,1073;0,1122;6,3013;1950;1585,8726
2183,696;12,5515;2,4689;58,9739;105,8892;22,8697;0,1987;0,0627;2,8092;0,0999;0,1025;6,3837;1950;1710,3364
2183,8484;12,5229;2,4774;56,7598;104,5425;23,1886;0,2011;0,0582;1,8885;0,1036;0,1089;6,8157;1950;1688,6368
2184,0008;12,53;2,3526;54,6406;103,005;23,5288;0,2018;0,0544;1,409;0,1085;0,1195;7,3417;1950;1744,8647
2184,1532;12,5126;2,2609;54,1212;101,3203;22,5405;0,203;0,0572;1,7739;0,124;0,131;7,5969;1950;1892,4636
2184,3056;12,4957;2,495;54,0103;99,8311;21,7117;0,1913;0,0567;1,8743;0,1349;0,146;7,3989;1950;1923,5254
2184,458;12,51;2,5102;53,955;98,2806;23,4127;0,1783;0,0452;0,9437;0,1374;0,1479;7,0469;1950;1901,4824
2184,6104;12,5193;2,4707;53,6517;97,1054;26,2111;0,1596;0,035;0,4429;0,132;0,1357;7,0035;1950;1845,5396
2184,7628;12,529;2,4488;53,0089;95,6886;26,6306;0,1543;0,026;0,1863;0,1257;0,1291;7,1767;1950;1768,5859
2184,9152;12,499;2,4703;52,5149;94,5321;26,3572;0,1463;0,029;0,2631;0,1115;0,1233;7,2239;1950;1686,3389
2185,0676;12,4877;2,5623;51,8899;93,5547;24,156;0,1343;0,0519;1,3694;0,1006;0,117;6,8563;1950;1617,3259
2185,22;12,4665;2,584;51,5367;92,9336;25,0146;0,1335;0,0689;4,439;0,0884;0,1059;6,342;1950;1541,8361
2185,3724;12,4826;2,5199;51,2486;92,1049;24,51;0,1326;0,0714;6,525;0,085;0,0941;5,9678;1950;1486,6597
2185,5248;12,4788;2,5297;51,1811;91,5051;25,4276;0,127;0,0729;10,9706;0,0809;0,0847;5,7868;1950;1444,8669
2185,6772;12,4605;2,6073;51,2195;91,0452;25,6718;0,0992;0,0647;15,2706;0,0702;0,0749;5,6335;1950;1379,0698
2185,8296;12,4354;2,6313;51,4123;90,966;25,7194;0,0566;0,0496;4,5495;0,0584;0,0599;5,3832;1950;1224,7711
2185,982;12,4126;2,6655;51,5658;90,7605;24,9195;0,0273;0,0311;0,2239;0,0442;0,0452;5,059;1950;982,3947
2186,1344;12,4044;2,6839;51,6742;90,5761;23,3313;0,0172;0,0247;0,0714;0,0391;0,036;4,7633;1950;806,1124
2186,2868;12,4037;2,6793;51,4739;90,2423;23,099;0,0179;0,0182;0,0191;0,0355;0,0409;4,5659;1950;790,9328
2186,4392;12,3942;2,6797;51,1526;89,8905;23,8938;0,0198;0,013;0,0092;0,0466;0,0493;4,4557;1950;842,2823
2186,5916;12,3697;2,7369;50,8526;89,3713;23,7039;0,019;0,0195;0,0455;0,0694;0,0761;4,38;1950;844,894
2186,744;12,3416;2,7325;50,7811;89,1051;22,7589;0,0182;0,0272;0,1271;0,0783;0,0907;4,3058;1950;784,9
2186,8964;12,3438;2,6991;51,0936;89,2198;20,8428;0,0196;0,0272;0,1179;0,0705;0,0804;4,2259;1950;724,4422
2187,0488;12,336;2,7268;51,8453;89,8502;20,3618;0,0269;0,0264;0,1018;0,061;0,0676;4,0787;1950;689,7089
2187,2012;12,3174;2,7028;52,6443;90,3767;20,2191;0,0354;0,0193;0,0275;0,0399;0,0562;3,8994;1950;668,4597
2187,3536;12,2885;2,6744;53,2369;90,775;19,7199;0,0369;0,026;0,1498;0,0513;0,0603;3,8174;1950;650,1725
2187,506;12,2776;2,678;53,3628;91,254;19,7339;0,0288;0,0511;1,2222;0,0746;0,0853;3,9049;1950;613,6775
2187,6584;12,2653;2,7259;53,112;91,8156;20,2806;0,0216;0,0639;3,313;0,0843;0,1076;4,0432;1950;585,5414
2187,8108;12,2527;2,7194;53,3461;92,6414;21,4422;0,0232;0,0762;7,569;0,0933;0,1117;4,0992;1950;643,6766
2187,9632;12,2502;2,6646;54,0376;93,8696;22,5209;0,0315;0,0817;11,6908;0,0942;0,1121;4,0773;1950;699,0901
2188,1156;12,2494;2,6493;54,9945;95,2532;23,8834;0,0493;0,0657;4,3141;0,0772;0,0967;4,1478;1950;783,0864
2188,268;12,249;2,6008;55,6185;96,6414;25,0921;0,0638;0,0467;0,92;0,0602;0,0737;4,3588;1950;871,5269
2188,4204;12,252;2,609;56,2091;98,2295;24,7574;0,062;0,04;0,4832;0,0544;0,0558;4,6226;1950;880,9398
2188,5728;12,2514;2,6768;56,7034;99,3077;23,8238;0,0458;0,0336;0,2354;0,0488;0,0498;4,7689;1950;826,7241
2188,7252;12,2504;2,6885;56,7146;100,0928;23,6128;0,0277;0,0308;0,1912;0,0451;0,0456;4,7483;1950;784,4637
2188,8776;12,25;2,6866;55,9991;100,2412;25,2286;0,0234;0,0296;0,159;0,0444;0,0446;4,6399;1950;876,1024
2189,03;12,2475;2,6958;54,7965;99,7057;26,7451;0,0221;0,0251;0,0688;0,0405;0,0423;4,5196;1950;1046,452
2189,1824;12,2473;2,7313;54,1277;98,7156;25,8039;0,0188;0,0222;0,0399;0,0387;0,0396;4,3781;1950;1113,3376
2189,3348;12,2462;2,7716;53,8694;97,6731;25,2699;0,0143;0,0192;0,0222;0,0367;0,0392;4,2022;1950;1076,376
2189,4872;12,2477;2,7449;54,0088;96,2757;23,9697;0,0098;0,0157;0,0105;0,0339;0,0393;3,9963;1950;981,3652
2189,6396;12,2399;2,7245;53,9114;95,3638;23,6062;0,0072;0,0173;0,0155;0,0342;0,0415;3,7909;1950;927,8535
2189,792;12,2378;2,7121;54,1906;94,9132;22,5638;0,0056;0,0208;0,0306;0,0369;0,0452;3,6662;1950;828,1371
2189,9444;12,2366;2,7336;54,2019;94,8908;22,7471;0,0076;0,0215;0,0346;0,0386;0,046;3,7075;1950;683,879
2190,0968;12,2474;2,7369;54,7413;95,0527;24,0653;0,0115;0,0223;0,0395;0,0406;0,0497;4,0097;1950;553,0811
2190,2492;12,2431;2,6829;54,0542;95,1359;26,2475;0,0139;0,0241;0,0606;0,0459;0,0544;4,4439;1950;472,1592
2190,4016;12,2452;2,6793;54,3158;95,3718;30,059;0,0147;0,0341;0,3027;0,058;0,0649;4,725;1950;486,9711
2190,554;12,2423;2,6651;53,6181;95,2015;35,4422;0,0143;0,0511;1,5866;0,0716;0,0725;4,8126;1950;640,5555
2190,7064;12,2404;2,6585;53,0545;95,1775;40,3183;0,0211;0,0567;2,9921;0,0751;0,0783;4,795;1950;946,92
2190,8588;12,2516;2,6453;52,1681;94,7803;42,9743;0,035;0,0622;5,2366;0,0789;0,0836;4,8334;1950;1243,9945
2191,0112;12,2652;2,5915;51,391;94,3141;41,289;0,0505;0,0663;5,0898;0,085;0,0902;4,9028;1950;1436,9797
2191,1636;12,2694;2,5877;50,8692;93,2222;37,5833;0,0585;0,0689;4,1654;0,0945;0,1071;5,0934;1950;1484,5994
2191,316;12,2814;2,5644;50,664;92,6154;37,0017;0,0731;0,0709;4,4205;0,1042;0,1164;5,611;1950;1372,0283
2191,4684;12,3113;2,519;51,1222;92,1154;41,4695;0,0935;0,0703;4,2957;0,1057;0,1136;6,5073;1950;1294,0149
2191,6208;12,3213;2,4965;51,6574;91,6732;49,0112;0,1115;0,0689;4,0181;0,1061;0,1098;7,4064;1950;1279,8462
2191,7732;12,3216;2,572;52,2227;91,3081;53,9968;0,1108;0,0617;2,446;0,0976;0,1066;7,6813;1950;1370,3416
2191,9256;12,3127;2,6125;52,4326;91,0087;56,0742;0,0975;0,06;2,1267;0,0933;0,1082;7,0657;1950;1504,6707
2192,078;12,2828;2,6134;52,6251;91,2492;53,5781;0,0835;0,0642;2,8624;0,0902;0,1113;6,0628;1950;1608,4424
2192,2304;12,2683;2,5094;52,7805;91,63;50,8001;0,0807;0,0677;3,7833;0,0893;0,1078;5,3879;1950;1664,4282
2192,3828;12,2676;2,4688;52,9993;92,3809;49,3925;0,0871;0,0708;5,0206;0,088;0,1042;5,321;1950;1632,7103
2192,5352;12,263;2,5559;53,1721;93,2937;53,3406;0,0901;0,0694;5,2981;0,0839;0,1002;5,4995;1950;1440,3181
2192,6876;12,2611;2,5967;53,2069;94,0004;54,1029;0,0848;0,0573;2,0512;0,0764;0,0914;5,5809;1950;1293,0576
2192,84;12,2613;2,5921;52,8437;94,4564;53,7468;0,07;0,0478;0,8579;0,0675;0,0855;5,4426;1950;1293,4377
2192,9924;12,2604;2,6538;52,3142;94,3491;50,0871;0,054;0,0448;0,6665;0,0631;0,0761;5,2277;1950;1163,4613
2193,1448;12,2314;2,671;51,7393;94,0636;48,6181;0,0432;0,0417;0,5031;0,0588;0,0688;5,0603;1950;1011,207
2193,2972;12,2224;2,6117;51,5575;93,9775;48,0276;0,0389;0,0367;0,3183;0,0546;0,0616;4,9646;1950;900,1682
2193,4496;12,2212;2,6356;51,6269;94,2202;46,1795;0,0386;0,0318;0,1819;0,0522;0,0532;4,8447;1950;830,5854
2193,602;12,2183;2,6498;51,808;94,6114;46,0095;0,032;0,0298;0,1376;0,0498;0,0499;4,7315;1950;763,8368
2193,7544;12,2177;2,6393;52,1317;94,7257;47,4249;0,0293;0,031;0,1747;0,0485;0,0476;4,6546;1950;690,7367
2193,9068;12,2193;2,6454;52,2024;94,3008;50,1136;0,0316;0,032;0,2172;0,0472;0,0479;4,6525;1950;614,1856
2194,0592;12,2169;2,6637;52,2339;93,3909;48,2747;0,033;0,0306;0,166;0,0469;0,049;4,6114;1950;556,53
2194,2116;12,2186;2,7156;51,9152;92,1843;41,7354;0,0275;0,0252;0,0666;0,047;0,0542;4,5051;1950;510,5934
2194,364;12,2129;2,7121;51,8504;91,2489;34,368;0,019;0,0213;0,037;0,0455;0,0555;4,4246;1950;474,7452
2194,5164;12,2162;2,7169;51,9716;90,5545;30,8476;0,0142;0,0208;0,0327;0,0437;0,0494;4,3967;1950;448,3461
2194,6688;12,2142;2,7201;52,3065;90,407;28,5839;0,0128;0,0205;0,03;0,0415;0,0456;4,4034;1930,0403;431,0165
2194,8212;12,2132;2,7298;52,7555;90,5826;28,2193;0,0132;0,022;0,0386;0,037;0,042;4,3898;1871,6266;432,5748
2194,9736;12,2111;2,7238;52,9874;91,2443;29,0416;0,016;0,0236;0,0629;0,034;0,0365;4,3888;1927,0277;463,6009
2195,126;12,2155;2,709;52,9813;92,0749;31,1117;0,0173;0,0233;0,0895;0,0307;0,0311;4,3902;1950;569,1132
2195,2784;12,2214;2,7455;52,9128;92,9882;31,1854;0,0158;0,0228;0,0958;0,0289;0,0275;4,3386;1950;767,5225
2195,4308;12,2245;2,7668;52,7365;93,9848;29,6054;0,0124;0,022;0,1042;0,027;0,0258;4,2069;1950;1086,0918
